school_id,region_code,full_division_code,full_municipality_code,treatment_status,time_point,grade,level_group,reading_category,student_count,english_assessed,percent_of_english_assessed
312481,7,705,70518,Control,BoSY,Grade 7,2-level,frustration,20,199,10.050251256281408
304409,11,1110,111001,Control,BoSY,Grade 7,2-level,frustration,11,124,8.870967741935484
303246,7,713,71303,Control,BoSY,Grade 7,2-level,frustration,20,183,10.92896174863388
501405,11,1101,110101,Control,BoSY,Grade 7,2-level,frustration,6,65,9.23076923076923
305677,11,1105,110503,Control,BoSY,Grade 7,2-level,frustration,0,59,0
500447,7,708,70801,Control,BoSY,Grade 7,2-level,frustration,13,72,18.055555555555557
501305,7,708,70801,Control,BoSY,Grade 7,2-level,frustration,1,31,3.225806451612903
305917,7,708,70801,Control,BoSY,Grade 7,2-level,frustration,8,24,33.333333333333336
305722,7,703,70304,Control,BoSY,Grade 7,2-level,frustration,0,60,0
312953,7,713,71306,Control,BoSY,Grade 7,2-level,frustration,2,46,4.3478260869565215
305498,11,1101,110101,Control,BoSY,Grade 7,2-level,frustration,0,75,0
305669,11,1101,110101,Control,BoSY,Grade 7,2-level,frustration,1,39,2.5641025641025643
312960,7,710,71002,Control,BoSY,Grade 7,2-level,frustration,2,71,2.816901408450704
309906,5,508,50811,Treatment,BoSY,Grade 7,2-level,instructional,7,130,5.384615384615385
309934,5,508,50806,Treatment,BoSY,Grade 7,2-level,instructional,11,43,25.58139534883721
301871,5,501,50107,Treatment,BoSY,Grade 7,2-level,instructional,2,73,2.73972602739726
302134,5,508,50804,Treatment,BoSY,Grade 7,2-level,instructional,67,169,39.64497041420118
302117,5,508,50803,Treatment,BoSY,Grade 7,2-level,instructional,4,92,4.3478260869565215
309909,5,508,50801,Treatment,BoSY,Grade 7,2-level,instructional,6,127,4.724409448818897
309915,5,508,50801,Treatment,BoSY,Grade 7,2-level,instructional,5,51,9.803921568627452
501544,5,508,50815,Treatment,BoSY,Grade 7,2-level,instructional,8,72,11.11111111111111
301887,5,502,50205,Treatment,BoSY,Grade 7,2-level,instructional,21,98,21.428571428571427
302175,5,508,50820,Treatment,BoSY,Grade 7,2-level,instructional,36,126,28.571428571428573
302146,5,508,50812,Treatment,BoSY,Grade 7,2-level,instructional,3,150,2
309921,5,508,50805,Treatment,BoSY,Grade 7,2-level,instructional,3,97,3.0927835051546393
302254,5,505,50501,Control,BoSY,Grade 7,2-level,instructional,18,93,19.35483870967742
309513,5,501,50112,Control,BoSY,Grade 7,2-level,instructional,4,122,3.278688524590164
500163,5,508,50801,Control,BoSY,Grade 7,2-level,instructional,9,76,11.842105263157896
302058,5,503,50333,Control,BoSY,Grade 7,2-level,instructional,2,99,2.0202020202020203
302192,5,511,51103,Control,BoSY,Grade 7,2-level,instructional,38,286,13.286713286713287
302227,5,511,51105,Control,BoSY,Grade 7,2-level,instructional,0,76,0
302252,5,505,50501,Control,BoSY,Grade 7,2-level,instructional,10,98,10.204081632653061
309914,5,508,50806,Control,BoSY,Grade 7,2-level,instructional,0,230,0
309711,5,503,50317,Control,BoSY,Grade 7,2-level,instructional,2,64,3.125
301817,5,507,50701,Control,BoSY,Grade 7,2-level,instructional,6,114,5.2631578947368425
302165,5,508,50816,Control,BoSY,Grade 7,2-level,instructional,4,92,4.3478260869565215
301974,5,503,50311,Treatment,BoSY,Grade 7,2-level,instructional,14,82,17.073170731707318
302256,5,505,50501,Control,BoSY,Grade 7,2-level,instructional,4,115,3.4782608695652173
301834,5,501,50106,Control,BoSY,Grade 7,2-level,instructional,26,165,15.757575757575758
309760,5,503,50306,Control,BoSY,Grade 7,2-level,instructional,8,34,23.529411764705884
309936,5,508,50819,Control,BoSY,Grade 7,2-level,instructional,3,56,5.357142857142857
302203,5,511,51102,Control,BoSY,Grade 7,2-level,instructional,2,81,2.4691358024691357
302011,5,503,50314,Control,BoSY,Grade 7,2-level,instructional,15,229,6.550218340611353
500168,5,505,50501,Control,BoSY,Grade 7,2-level,instructional,7,90,7.777777777777778
301947,5,503,50306,Control,BoSY,Grade 7,2-level,instructional,38,312,12.179487179487179
309941,5,508,50812,Control,BoSY,Grade 7,2-level,instructional,14,244,5.737704918032787
301839,5,501,50111,Control,BoSY,Grade 7,2-level,instructional,14,90,15.555555555555555
501843,5,508,50818,Treatment,BoSY,Grade 7,2-level,instructional,9,40,22.5
302111,5,508,50801,Control,BoSY,Grade 7,2-level,instructional,42,496,8.46774193548387
302133,5,509,50901,Control,BoSY,Grade 7,2-level,instructional,6,174,3.4482758620689653
301990,5,503,50317,Control,BoSY,Grade 7,2-level,instructional,4,64,6.25
309937,5,508,50819,Control,BoSY,Grade 7,2-level,instructional,12,80,15
302241,5,511,51105,Control,BoSY,Grade 7,2-level,instructional,42,170,24.705882352941178
500167,5,505,50501,Control,BoSY,Grade 7,2-level,instructional,5,60,8.333333333333334
309764,5,503,50320,Control,BoSY,Grade 7,2-level,instructional,0,40,0
302205,5,511,51106,Control,BoSY,Grade 7,2-level,instructional,12,136,8.823529411764707
302014,5,503,50302,Control,BoSY,Grade 7,2-level,instructional,0,159,0
309740,5,503,50315,Control,BoSY,Grade 7,2-level,instructional,1,37,2.7027027027027026
309741,5,503,50315,Control,BoSY,Grade 7,2-level,instructional,6,117,5.128205128205129
302161,5,508,50803,Treatment,BoSY,Grade 7,2-level,instructional,17,100,17
302113,5,508,50818,Treatment,BoSY,Grade 7,2-level,instructional,7,100,7
302127,5,508,50817,Control,BoSY,Grade 7,2-level,instructional,2,49,4.081632653061225
301899,5,502,50205,Control,BoSY,Grade 7,2-level,instructional,4,132,3.0303030303030303
309509,5,501,50113,Control,BoSY,Grade 7,2-level,instructional,29,89,32.58426966292135
309903,5,508,50816,Control,BoSY,Grade 7,2-level,instructional,42,103,40.77669902912621
